split,Rule_Index,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,profit_factor,tp_exits,sl_exits,time_exits
train,163,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,164,13,9,4,69.23076923076923,49.74073726199838,3.8262105586152604,2.740223550658627,9,3,1
train,165,6,2,4,33.33333333333333,-5.188067423095115,-0.8646779038491857,0.7940715337872796,2,4,0
train,166,1,1,0,100.0,13.094139604397942,13.094139604397942,inf,1,0,0
train,167,1,0,1,0.0,-3.8196769430908057,-3.8196769430908057,0.0,0,1,0
train,168,1,0,1,0.0,-6.168799821345686,-6.168799821345686,0.0,0,1,0
train,169,3,2,1,66.66666666666666,3.6082911699442644,1.2027637233147548,1.5228496253036754,2,1,0
train,170,1,1,0,100.0,1.818565183403148,1.818565183403148,inf,1,0,0
train,171,2,2,0,100.0,9.573848600420046,4.786924300210023,inf,2,0,0
train,172,1,1,0,100.0,24.79690659966766,24.79690659966766,inf,1,0,0
train,173,3,3,0,100.0,29.64566142504517,9.881887141681723,inf,2,0,1
train,174,1,0,1,0.0,-1.941907499095278,-1.941907499095278,0.0,0,1,0
train,175,2,1,1,50.0,0.7737040753820015,0.38685203769100074,1.2259398748326578,1,1,0
train,176,1,0,1,0.0,-1.6447311496237045,-1.6447311496237045,0.0,0,1,0
train,177,1,0,1,0.0,-8.459080233516165,-8.459080233516165,0.0,0,1,0
train,178,8,5,3,62.5,-0.5591410244230355,-0.06989262805287944,0.9551201629383801,5,3,0
train,179,2,1,1,50.0,2.5219751537141324,1.2609875768570662,1.5876552447551142,1,1,0
train,180,4,2,2,50.0,27.677513604564872,6.919378401141218,7.615430370351952,2,2,0
train,181,2,1,1,50.0,17.54453679238435,8.772268396192175,4.908320586078769,0,1,1
train,182,20,11,9,55.00000000000001,108.1312475538482,5.40656237769241,3.516928939868483,10,7,3
train,183,2,1,1,50.0,18.73893267295515,9.369466336477576,153.04044130218875,1,1,0
train,184,2,1,1,50.0,4.486327614149056,2.243163807074528,1.7658570096849289,1,1,0
train,185,7,4,3,57.14285714285714,19.045916757203443,2.7208452510290635,1.7126158613380946,4,3,0
train,186,34,16,18,47.05882352941176,16.005855890060495,0.47076046735472044,1.17313361450882,15,18,1
train,187,11,8,3,72.72727272727273,77.35116618414861,7.031924198558965,7.130887998181861,6,3,2
train,188,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,189,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,190,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,191,2,2,0,100.0,12.675046896017534,6.337523448008767,inf,1,0,1
train,192,4,3,1,75.0,16.553937988392587,4.138484497098147,9.54985553552297,3,1,0
train,193,9,4,5,44.44444444444444,65.7859074708447,7.3095452745383005,6.8096376178069695,4,5,0
train,194,16,9,7,56.25,58.89081038819115,3.680675649261947,2.214660109738724,8,6,2
train,195,3,1,2,33.33333333333333,9.193576354378965,3.064525451459655,2.6491479385085386,1,2,0
train,196,2,1,1,50.0,8.155090839195765,4.077545419597882,1.9449554057625216,1,1,0
train,197,3,2,1,66.66666666666666,10.811129597633055,3.603709865877685,36.67027103003409,2,0,1
train,198,1,0,1,0.0,-6.840832662752703,-6.840832662752703,0.0,0,1,0
train,199,8,5,3,62.5,19.36463993441829,2.420579991802286,1.9800676677625146,5,2,1
train,200,6,2,4,33.33333333333333,16.187219054644537,2.697869842440756,1.6814637692408625,2,4,0
train,201,13,6,7,46.15384615384615,39.98372297664078,3.0756709982031367,2.1298422107487127,5,7,1
train,202,10,8,2,80.0,47.04676887006819,4.704676887006819,2.567694442891132,3,2,5
train,203,10,7,3,70.0,11.400709194986272,1.1400709194986272,1.5644074665524197,7,3,0
train,204,7,3,4,42.857142857142854,10.391040963569408,1.4844344233670583,3.412685619736122,2,4,1
train,205,15,10,5,66.66666666666666,69.91605702152998,4.6610704681019985,6.681481430071423,10,4,1
train,206,8,5,3,62.5,18.32974668259189,2.291218335323986,1.583866245491668,3,3,2
train,207,34,15,19,44.11764705882353,97.73451160553554,2.8745444589863394,2.2937824783119636,13,19,2
train,208,17,14,3,82.35294117647058,115.04909586789171,6.767593874581865,6.501996304769311,13,3,1
train,209,10,2,8,20.0,-18.9226819456158,-1.89226819456158,0.24911456772715881,2,8,0
