Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
2473,short,16,3.0,1.0,4,2025-07-22 02:55:00,1636193,163619,117027.81,1639073,2025-07-23 02:55:00,SL,-1.0,3589.5915360481767,12.5,0.002,448.6989420060221,448.6989420060221,448.6989420060221,2695.008735140064,899.1947589077158,894.5828009081129,-4.486989420060221,0.8973978840120442,-5.3843873040722645,3585.2880773941124,3579.90369009004,257.990369009004,3642.181136738458,1.709894272424541,ACTIVE,True
2474,short,9,2.5,1.5,5,2025-07-23 11:50:00,1640144,164014,0.25558,1643024,2025-07-24 11:50:00,TP,2.5,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,-1.4779288903810084e-12,5.115907697472721e-13,3579.9036900900414,11.187199031531376,0.89497592252251,10.292223109008866,3579.90369009004,3590.195913199049,259.01959131990486,3642.181136738458,1.4273102184577642,ACTIVE,True
2475,short,8,2.5,1.25,5,2025-07-23 11:55:00,1640154,164015,0.25587,1643034,2025-07-24 11:55:00,TP,2.5,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,447.48796126125353,447.4879612612555,3132.4157288287865,11.187199031531376,0.89497592252251,10.292223109008866,3590.195913199049,3600.4881363080576,260.04881363080574,3642.181136738458,1.1447261644909872,ACTIVE,True
2476,short,38,2.0,1.5,2,2025-07-23 12:15:00,1640191,164019,25.06,1643071,2025-07-24 12:15:00,TP,2.0,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,894.9759225225085,0.0,2684.9277675675316,8.949759225225101,0.89497592252251,8.05478330270259,3600.4881363080576,3608.5429196107602,260.85429196107606,3642.181136738458,0.9235734266039417,ACTIVE,True
2477,short,9,2.5,1.5,1,2025-07-23 15:20:00,1640560,164056,0.8235,1643440,2025-07-24 15:20:00,TP,2.5,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,1342.4638837837635,5.684341886080801e-13,2237.4398063062763,11.187199031531376,0.89497592252251,10.292223109008866,3608.5429196107602,3618.835142719769,261.88351427197694,3642.181136738458,0.6409893726371647,ACTIVE,True
2478,short,9,2.5,1.5,2,2025-07-23 15:20:00,1640561,164056,24.03,1643441,2025-07-24 15:20:00,TP,2.5,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,1789.9518450450187,447.487961261255,1789.9518450450214,11.187199031531376,0.89497592252251,10.292223109008866,3618.835142719769,3629.127365828778,262.9127365828778,3642.181136738458,0.35840531867038783,ACTIVE,True
2479,short,9,2.5,1.5,2,2025-07-23 15:25:00,1640571,164057,24.04,1643451,2025-07-24 15:25:00,TP,2.5,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,2237.4398063062736,894.97592252251,1342.4638837837665,11.187199031531376,0.89497592252251,10.292223109008866,3629.127365828778,3639.4195889377866,263.9419588937787,3642.181136738458,0.07582126470361092,ACTIVE,True
2480,short,34,2.0,2.0,7,2025-07-23 21:50:00,1641346,164134,3591.27,1644226,2025-07-24 21:50:00,TP,2.0,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,2684.9277675675285,9.094947017729282e-13,894.9759225225116,8.949759225225101,0.89497592252251,8.05478330270259,3639.4195889377866,3647.474372240489,264.7474372240489,3647.474372240489,0.0,ACTIVE,True
2481,short,34,2.0,2.0,7,2025-07-23 21:55:00,1641356,164135,3591.47,1644236,2025-07-24 21:55:00,TP,2.0,3579.90369009004,12.5,0.002,447.487961261255,447.487961261255,447.487961261255,3132.4157288287834,447.4879612612559,447.4879612612567,8.949759225225101,0.89497592252251,8.05478330270259,3647.474372240489,3655.529155543192,265.55291555431916,3655.529155543192,0.0,ACTIVE,True
2482,short,1,3.5,2.0,8,2025-07-24 22:35:00,1644317,164431,184.2,1647197,2025-07-25 22:35:00,TP,3.5,3655.529155543192,12.5,0.002,456.941144442899,456.941144442899,456.941144442899,-1.2505552149377763e-12,4.547473508864641e-13,3655.529155543193,15.992940055501466,0.9138822888857979,15.079057766615668,3655.529155543192,3670.6082133098075,267.0608213309808,3670.6082133098075,0.0,ACTIVE,True
2483,short,2,3.5,1.25,8,2025-07-24 22:40:00,1644327,164432,184.48,1647207,2025-07-25 22:40:00,TP,3.5,3655.529155543192,12.5,0.002,456.941144442899,456.941144442899,456.941144442899,456.9411444428977,456.94114444289943,3198.588011100294,15.992940055501466,0.9138822888857979,15.079057766615668,3670.6082133098075,3685.6872710764233,268.5687271076423,3685.6872710764233,0.0,ACTIVE,True
2484,short,2,3.5,1.25,8,2025-07-24 22:45:00,1644337,164433,183.68,1647217,2025-07-25 22:45:00,TP,3.5,3655.529155543192,12.5,0.002,456.941144442899,456.941144442899,456.941144442899,913.8822888857967,913.8822888857984,2741.646866657395,15.992940055501466,0.9138822888857979,15.079057766615668,3685.6872710764233,3700.766328843039,270.0766328843039,3700.766328843039,0.0,ACTIVE,True
2485,short,60,2.0,1.0,8,2025-07-24 22:50:00,1644347,164434,183.92,1647227,2025-07-25 22:50:00,TP,2.0,3655.529155543192,12.5,0.002,456.941144442899,456.941144442899,456.941144442899,1370.8234333286957,1370.8234333286973,2284.705722214496,9.13882288885798,0.9138822888857979,8.224940599972182,3700.766328843039,3708.9912694430113,270.8991269443011,3708.9912694430113,0.0,ACTIVE,True
2486,short,12,3.5,1.25,4,2025-07-25 04:45:00,1645053,164505,116092.0,1647933,2025-07-26 04:45:00,SL,-1.25,3655.529155543192,12.5,0.002,456.941144442899,456.941144442899,456.941144442899,1827.7645777715948,2.2737367544323206e-13,1827.764577771597,-5.711764305536238,0.9138822888857979,-6.625646594422036,3708.9912694430113,3702.3656228485893,270.23656228485896,3708.9912694430113,0.17863742762104265,ACTIVE,True
2487,short,29,3.5,1.0,7,2025-07-25 16:15:00,1646436,164643,3631.01,1649316,2025-07-26 16:15:00,SL,-1.0,3655.529155543192,12.5,0.002,456.941144442899,456.941144442899,456.941144442899,2284.7057222144936,9.094947017729282e-13,1370.8234333286982,-4.56941144442899,0.9138822888857979,-5.483293733314788,3702.3656228485893,3696.8823291152744,269.68823291152745,3708.9912694430113,0.3264752987557012,ACTIVE,True
2488,short,24,3.5,1.0,7,2025-07-27 00:00:00,1650246,165024,3735.95,1653126,2025-07-28 00:00:00,SL,-1.0,3696.8823291152744,12.5,0.002,462.1102911394093,462.1102911394093,462.1102911394093,-1.4779288903810084e-12,9.094947017729282e-13,3696.8823291152758,-4.621102911394093,0.9242205822788186,-5.545323493672912,3696.8823291152744,3691.3370056216013,269.13370056216013,3708.9912694430113,0.4759855858075726,ACTIVE,True
2489,short,5,2.5,1.0,3,2025-07-27 21:05:00,1652772,165277,832.16,1655652,2025-07-28 21:05:00,SL,-1.0,3696.8823291152744,12.5,0.002,462.1102911394093,462.1102911394093,462.1102911394093,462.1102911394078,1.7053025658242404e-13,3234.7720379758666,-4.621102911394093,0.9242205822788186,-5.545323493672912,3691.3370056216013,3685.791682127928,268.57916821279287,3708.9912694430113,0.625495872859444,ACTIVE,True
2490,short,5,2.5,1.0,3,2025-07-27 21:10:00,1652782,165278,828.9,1655662,2025-07-28 21:10:00,SL,-1.0,3696.8823291152744,12.5,0.002,462.1102911394093,462.1102911394093,462.1102911394093,924.2205822788171,462.11029113940947,2772.6617468364575,-4.621102911394093,0.9242205822788186,-5.545323493672912,3685.791682127928,3680.246358634255,268.0246358634255,3708.9912694430113,0.7750061599113154,ACTIVE,True
2491,short,29,3.5,1.0,7,2025-07-28 15:50:00,1655026,165502,3801.95,1657906,2025-07-29 15:50:00,SL,-1.0,3691.3370056216013,12.5,0.002,461.41712570270016,461.41712570270016,461.41712570270016,924.2205822788171,9.094947017729282e-13,2767.1164233427844,-4.614171257027002,0.9228342514054003,-5.537005508432403,3680.246358634255,3674.709353125823,267.4709353125823,3708.9912694430113,0.9242921815325994,ACTIVE,True
2492,short,45,3.0,1.0,7,2025-07-28 15:55:00,1655036,165503,3808.11,1657916,2025-07-29 15:55:00,SL,-1.0,3691.3370056216013,12.5,0.002,461.41712570270016,461.41712570270016,461.41712570270016,1385.6377079815172,461.41712570270107,2305.6992976400843,-4.614171257027002,0.9228342514054003,-5.537005508432403,3674.709353125823,3669.1723476173906,266.91723476173905,3708.9912694430113,1.0735782031538834,ACTIVE,True
2493,short,48,3.5,1.5,7,2025-07-28 16:00:00,1655046,165504,3803.0,1657926,2025-07-29 16:00:00,SL,-1.5,3691.3370056216013,12.5,0.002,461.41712570270016,461.41712570270016,461.41712570270016,1847.0548336842173,922.8342514054012,1844.282171937384,-6.921256885540502,0.9228342514054003,-7.844091136945902,3669.1723476173906,3661.328256480445,266.1328256480445,3708.9912694430113,1.2850667337840378,ACTIVE,True
2494,short,5,2.5,1.0,1,2025-07-28 16:20:00,1655080,165508,0.8036,1657960,2025-07-29 16:20:00,TP,2.5,3691.3370056216013,12.5,0.002,461.41712570270016,461.41712570270016,461.41712570270016,2308.4719593869177,5.684341886080801e-13,1382.8650462346836,11.535428142567504,0.9228342514054003,10.612593891162104,3661.328256480445,3671.940850371607,267.19408503716073,3708.9912694430113,0.9989351923432291,ACTIVE,True
2495,short,5,2.5,1.0,1,2025-07-28 16:25:00,1655090,165509,0.8069,1657970,2025-07-29 16:25:00,TP,2.5,3691.3370056216013,12.5,0.002,461.41712570270016,461.41712570270016,461.41712570270016,2769.8890850896178,461.41712570270073,921.4479205319835,11.535428142567504,0.9228342514054003,10.612593891162104,3671.940850371607,3682.5534442627695,268.25534442627696,3708.9912694430113,0.7128036509024205,ACTIVE,True
2496,short,32,2.5,1.25,1,2025-07-28 16:35:00,1655110,165511,0.8064,1657990,2025-07-29 16:35:00,TP,2.5,3691.3370056216013,12.5,0.002,461.41712570270016,460.0307948292834,460.0307948292834,3231.306210792318,922.8342514054009,460.0307948292834,11.500769870732086,0.9200615896585669,10.58070828107352,3682.5534442627695,3693.134152543843,269.3134152543843,3708.9912694430113,0.4275317936121682,ACTIVE,True
2497,short,67,2.0,1.25,5,2025-07-28 21:40:00,1655724,165572,0.22935,1658604,2025-07-29 21:40:00,SL,-1.25,3680.246358634255,12.5,0.002,460.0307948292819,460.0307948292819,460.0307948292819,2767.116423342783,4.547473508864641e-13,913.1299352914721,-5.750384935366024,0.9200615896585638,-6.6704465250245875,3693.134152543843,3686.4637060188184,268.6463706018818,3708.9912694430113,0.6073770949473278,ACTIVE,True
