Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
852,short,60,2.5,2.5,4,2024-07-01 20:00:00,526563,52656,63275.99,529443,2024-07-02 20:00:00,Time_288,2.117706890085797,1659.5994390100477,12.5,0.002,207.44992987625596,207.44992987625596,207.44992987625596,1052.292423194831,2.842170943040401e-14,607.3070158152168,4.393181458467628,0.4148998597525119,3.9782815987151157,1663.6483489090663,1667.6266305077813,66.76266305077814,1702.082855725779,2.024356517198174,ACTIVE,True
853,short,4,6.0,2.5,7,2024-07-02 16:15:00,528996,52899,3411.42,531876,2024-07-03 16:15:00,Time_288,3.027185160431726,1663.6483489090663,12.5,0.002,207.95604361363328,207.95604361363328,207.95604361363328,207.44992987625744,5.684341886080802e-14,1456.198419032809,6.295214492492835,0.4159120872272666,5.879302405265568,1667.6266305077813,1673.505932913047,67.3505932913047,1702.082855725779,1.678938408703174,ACTIVE,True
854,short,45,3.0,1.0,7,2024-07-03 04:55:00,530516,53051,3361.24,533396,2024-07-04 04:55:00,TP,3.0,1667.6266305077813,12.5,0.002,208.45332881347267,208.45332881347267,208.45332881347267,207.95604361363473,207.95604361363334,1459.6705868941467,6.25359986440418,0.41690665762694534,5.836693206777234,1673.505932913047,1679.3426261198242,67.93426261198243,1702.082855725779,1.3360236565133683,ACTIVE,True
855,short,7,3.0,2.0,10,2024-07-03 05:00:00,530529,53052,0.4806,533409,2024-07-04 05:00:00,TP,3.0,1667.6266305077813,12.5,0.002,208.45332881347267,208.45332881347267,208.45332881347267,416.4093724271074,1.9895196601282805e-13,1251.217258080674,6.25359986440418,0.41690665762694534,5.836693206777234,1679.3426261198242,1685.1793193266014,68.51793193266013,1702.082855725779,0.9931089043235622,ACTIVE,True
856,short,29,5.0,1.0,7,2024-07-03 05:05:00,530536,53053,3364.97,533416,2024-07-04 05:05:00,TP,5.0,1667.6266305077813,12.5,0.002,208.45332881347267,208.45332881347267,208.45332881347267,624.8627012405801,416.409372427106,1042.763929267201,10.422666440673634,0.41690665762694534,10.005759783046688,1685.1793193266014,1695.185079109648,69.51850791096481,1702.082855725779,0.40525504342675406,ACTIVE,True
857,short,46,3.0,2.0,4,2024-07-03 05:15:00,530553,53055,60945.98,533433,2024-07-04 05:15:00,TP,3.0,1667.6266305077813,12.5,0.002,208.45332881347267,208.45332881347267,208.45332881347267,833.3160300540528,2.842170943040401e-14,834.3106004537285,6.25359986440418,0.41690665762694534,5.836693206777234,1695.185079109648,1701.0217723164253,70.10217723164254,1702.082855725779,0.06234029123694812,ACTIVE,True
858,short,52,2.5,2.0,4,2024-07-03 05:35:00,530593,53059,60928.74,533473,2024-07-04 05:35:00,TP,2.5,1667.6266305077813,12.5,0.002,208.45332881347267,208.45332881347267,208.45332881347267,1041.7693588675254,208.4533288134727,625.8572716402559,5.211333220336817,0.41690665762694534,4.794426562709871,1701.0217723164253,1705.816198879135,70.58161988791352,1705.816198879135,0.0,ACTIVE,True
859,short,44,3.0,1.0,6,2024-07-03 08:35:00,530955,53095,6.279,533835,2024-07-04 08:35:00,TP,3.0,1667.6266305077813,12.5,0.002,208.45332881347267,208.45332881347267,208.45332881347267,1250.222687680998,0.0,417.40394282678335,6.25359986440418,0.41690665762694534,5.836693206777234,1705.816198879135,1711.6528920859123,71.16528920859122,1711.6528920859123,0.0,ACTIVE,True
860,short,6,8.0,3.0,6,2024-07-03 08:40:00,530965,53096,6.266,533845,2024-07-04 08:40:00,TP,8.0,1667.6266305077813,12.5,0.002,208.45332881347267,208.45332881347267,208.45332881347267,1458.6760164944706,208.45332881347267,208.95061401331077,16.676266305077814,0.41690665762694534,16.259359647450868,1711.6528920859123,1727.912251733363,72.79122517333631,1727.912251733363,0.0,ACTIVE,True
861,short,2,4.0,1.25,6,2024-07-03 18:00:00,532085,53208,6.088,534965,2024-07-04 18:00:00,TP,4.0,1673.505932913047,12.5,0.002,209.18824161413087,209.18824161413087,209.18824161413087,1459.1733016943099,416.90665762694533,214.3326312187371,8.367529664565236,0.41837648322826176,7.949153181336974,1727.912251733363,1735.8614049147,73.58614049146999,1735.8614049147,0.0,ACTIVE,True
