datetime,symbol,open,high,low,close,volume,ff_donchian_width_20,ff_ema_spread_21_55,ff_relative_volume_20,ff_volume_regime_20,ff_bollinger_width_20,ff_volume_oscillator_5_20,ff_ema_stack_8_21_55,ff_volume_trailing_rank_50,ff_kama_distance_10,ff_roc_16,ff_ema_spread_8_21,ff_support_distance_20,ff_cvd_proxy_10,ff_rsi_7_level,ff_channel_midpoint_bias_20,ff_price_vs_ema_20,ff_rsi_14_midline_cross,ff_roc_8
2025-01-04 10:15:00,BTCUSDT,97708.93,97762.33,97600.0,97736.17,98.38497,1,-1,2,0,1,5,-1,3,-4,-1,-5,5,-2,-1,-1,-1,0,-1
2025-01-04 10:15:00,ETHUSDT,3580.62,3583.4,3572.42,3580.16,2168.8357,1,3,3,0,1,-2,0,3,-5,-1,-3,3,-3,-1,-2,-1,0,-1
2025-01-04 10:30:00,BTCUSDT,97736.17,97848.49,97736.16,97824.65,78.11258,1,-1,2,-1,1,4,-1,2,-1,-1,-5,5,-2,0,-1,-1,0,-1
2025-01-04 10:30:00,ETHUSDT,3580.16,3585.89,3579.42,3585.86,1045.6564,1,3,2,-1,1,-2,0,0,-5,-1,-3,5,-3,0,-1,-1,0,-1
2025-01-04 10:45:00,BTCUSDT,97824.66,97859.6,97789.31,97789.32,58.23133,1,-2,2,-1,1,3,-1,1,-2,-1,-5,5,-2,0,-1,-1,0,-1
2025-01-04 10:45:00,ETHUSDT,3585.87,3588.17,3584.68,3588.09,730.1229,1,2,1,-1,1,-2,0,0,-4,-1,-3,5,-2,0,0,-1,0,1
2025-01-04 11:00:00,BTCUSDT,97789.32,97789.32,97711.54,97771.74,64.1387,1,-2,2,-1,1,-2,-1,1,-2,-1,-5,5,-2,0,-1,-1,0,-1
2025-01-04 11:00:00,ETHUSDT,3588.08,3592.01,3585.0,3592.0,1172.187,1,2,2,-1,1,-2,0,0,-2,-1,-2,5,-2,0,0,0,0,1
2025-01-04 11:15:00,BTCUSDT,97771.74,97781.02,97723.98,97758.89,75.09778,1,-2,2,-1,1,-3,-1,2,-2,-1,-5,5,-2,0,-1,-1,0,-1
2025-01-04 11:15:00,ETHUSDT,3592.0,3593.24,3586.68,3588.3,1224.2802,1,2,2,-1,1,-3,0,1,-4,-1,-2,5,-1,0,0,0,0,-1
