Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
360,short,109,3.5,1.5,2,2024-04-09 18:55:00,287391,28739,47.21,290271,2024-04-10 18:55:00,TP,3.5,1296.4097448538319,12.5,0.002,162.05121810672898,5.6130250575577065,5.6130250575577065,1290.7967197962741,0.0,5.6130250575577065,0.19645587701451975,0.011226050115115413,0.18522982689940434,1310.6906474221107,1310.87587724901,31.087587724901013,1310.87587724901,0.0,ACTIVE,True
361,short,207,3.5,1.0,6,2024-04-10 13:30:00,289625,28962,8.22,292505,2024-04-11 13:30:00,SL,-1.0,1298.536806064106,12.5,0.002,162.31710075801325,162.31710075801325,162.31710075801325,815.8691155912013,0.0,482.6676904729047,-1.6231710075801327,0.3246342015160265,-1.9478052090961593,1310.87587724901,1308.9280720399138,30.892807203991367,1310.87587724901,0.14858807327997386,ACTIVE,True
362,short,227,2.0,1.0,9,2024-04-10 14:50:00,289788,28978,0.11814,292668,2024-04-11 14:50:00,SL,-1.0,1301.4537279900271,12.5,0.002,162.6817159987534,162.6817159987534,162.6817159987534,816.1349982424856,162.05121810672898,485.3187297475415,-1.6268171599875338,0.3253634319975068,-1.9521805919850406,1308.9280720399138,1306.9758914479287,30.697589144792857,1310.87587724901,0.29750992208856764,ACTIVE,True
363,short,68,3.0,2.0,9,2024-04-10 15:30:00,289868,28986,0.11828,292748,2024-04-11 15:30:00,Time_288,-0.8285424416638558,1301.4537279900271,12.5,0.002,162.6817159987534,162.6817159987534,162.6817159987534,978.816714241239,324.7329341054824,322.63701374878815,-1.347887061876731,0.3253634319975068,-1.6732504938742376,1306.9758914479287,1305.3026409540544,30.530264095405446,1310.87587724901,0.42515362374747573,ACTIVE,True
364,short,26,3.5,1.0,9,2024-04-10 16:35:00,289998,28999,0.11849,292878,2024-04-11 16:35:00,SL,-1.0,1297.888601191679,12.5,0.002,162.23607514895988,162.23607514895988,162.23607514895988,979.4472121332633,325.3634319975068,318.4413890584158,-1.6223607514895988,0.32447215029791976,-1.9468329017875186,1305.3026409540544,1303.3558080522669,30.33558080522669,1310.87587724901,0.5736675246877465,ACTIVE,True
365,short,182,3.5,1.25,2,2024-04-10 19:05:00,290291,29029,46.67,293171,2024-04-11 19:05:00,SL,-1.25,1310.87587724901,12.5,0.002,163.85948465612626,163.85948465612626,163.85948465612626,649.9166079044783,0.0,660.9592693445318,-2.048243558201578,0.32771896931225253,-2.3759625275138307,1303.3558080522669,1300.979845524753,30.0979845524753,1310.87587724901,0.7549175246877459,ACTIVE,True
366,short,224,3.5,1.25,9,2024-04-11 01:40:00,291088,29108,0.11915,293968,2024-04-12 01:40:00,SL,-1.25,1310.87587724901,12.5,0.002,163.85948465612626,163.85948465612626,163.85948465612626,813.7760925606045,487.59950714646664,497.0997846884055,-2.048243558201578,0.32771896931225253,-2.3759625275138307,1300.979845524753,1298.6038829972392,29.86038829972393,1310.87587724901,0.9361675246877451,ACTIVE,True
367,short,204,2.5,1.0,5,2024-04-11 03:35:00,291314,29131,0.1979,294194,2024-04-12 03:35:00,SL,-1.0,1310.87587724901,12.5,0.002,163.85948465612626,163.85948465612626,163.85948465612626,977.6355772167308,0.0,333.24030003227926,-1.6385948465612625,0.32771896931225253,-1.966313815873515,1298.6038829972392,1296.6375691813657,29.663756918136563,1310.87587724901,1.0861675246877431,ACTIVE,True
368,short,26,3.5,1.0,1,2024-04-11 12:40:00,292400,29240,0.5856,295280,2024-04-12 12:40:00,SL,-1.0,1310.87587724901,12.5,0.002,163.85948465612626,163.85948465612626,163.85948465612626,1141.4950618728571,0.0,169.3808153761529,-1.6385948465612625,0.32771896931225253,-1.966313815873515,1296.6375691813657,1294.6712553654922,29.467125536549222,1310.87587724901,1.2361675246877413,ACTIVE,True
369,short,26,3.5,1.0,3,2024-04-11 12:40:00,292402,29240,598.9,295282,2024-04-12 12:40:00,SL,-1.0,1310.87587724901,12.5,0.002,163.85948465612626,5.521330720026526,5.521330720026526,1305.3545465289835,0.0,5.521330720026526,-0.055213307200265266,0.011042661440053054,-0.06625596864031832,1294.6712553654922,1294.604999396852,29.460499939685203,1310.87587724901,1.2412218528503192,ACTIVE,True
370,short,221,1.25,1.75,3,2024-04-11 21:05:00,293412,29341,604.8,296292,2024-04-12 21:05:00,SL,-1.75,1300.979845524753,12.5,0.002,162.62248069059413,162.62248069059413,162.62248069059413,497.0997846884038,5.521330720026526,803.8800608363492,-2.8458934120853976,0.32524496138118825,-3.1711383734665857,1294.604999396852,1291.4338610233854,29.143386102338532,1310.87587724901,1.4831317413838974,ACTIVE,True
371,short,115,2.5,1.0,9,2024-04-12 02:50:00,294108,29410,0.12116,296988,2024-04-13 02:50:00,TP,2.5,1298.6038829972392,12.5,0.002,162.3254853746549,162.3254853746549,162.3254853746549,495.86278072287166,2.842170943040401e-14,802.7411022743676,4.058137134366373,0.3246509707493098,3.7334861636170626,1291.4338610233854,1295.1673471870024,29.516734718700242,1310.87587724901,1.198323223017376,ACTIVE,True
372,short,64,2.0,1.25,4,2024-04-12 20:05:00,296173,29617,67054.22,299053,2024-04-13 20:05:00,SL,-1.25,1294.604999396852,12.5,0.002,161.8256249246065,161.8256249246065,161.8256249246065,324.94796606524756,5.684341886080802e-14,969.6570333316045,-2.0228203115575814,0.323651249849213,-2.346471561406794,1295.1673471870024,1292.8208756255956,29.282087562559568,1310.87587724901,1.3773235084090865,ACTIVE,True
373,short,4,2.0,1.0,8,2024-04-12 20:10:00,296187,29618,153.99,299067,2024-04-13 20:10:00,TP,2.0,1294.604999396852,12.5,0.002,161.8256249246065,161.8256249246065,161.8256249246065,486.77359098985403,2.842170943040401e-14,807.831408406998,3.23651249849213,0.323651249849213,2.9128612486429173,1292.8208756255956,1295.7337368742385,29.573373687423853,1310.87587724901,1.155116257578,ACTIVE,True
374,short,174,3.0,1.0,6,2024-04-12 20:30:00,296225,29622,7.081,299105,2024-04-13 20:30:00,SL,-1.0,1294.604999396852,12.5,0.002,161.8256249246065,161.8256249246065,161.8256249246065,648.5992159144605,0.0,646.0057834823915,-1.618256249246065,0.323651249849213,-1.941907499095278,1295.7337368742385,1293.7918293751432,29.379182937514315,1310.87587724901,1.30325442479873,ACTIVE,True
375,short,229,2.0,1.0,10,2024-04-12 20:30:00,296229,29622,0.5428,299109,2024-04-13 20:30:00,SL,-1.0,1294.604999396852,12.5,0.002,161.8256249246065,161.8256249246065,161.8256249246065,810.424840839067,0.0,484.18015855778503,-1.618256249246065,0.323651249849213,-1.941907499095278,1293.7918293751432,1291.8499218760478,29.184992187604774,1310.87587724901,1.4513925920194601,ACTIVE,True
376,short,230,3.0,1.75,2,2024-04-12 20:35:00,296231,29623,38.94,299111,2024-04-13 20:35:00,TP,3.0,1294.604999396852,12.5,0.002,161.8256249246065,161.8256249246065,161.8256249246065,972.2504657636734,0.0,322.35453363317856,4.854768747738195,0.323651249849213,4.531117497888982,1291.8499218760478,1296.3810393739368,29.63810393739368,1310.87587724901,1.1057368685044349,ACTIVE,True
377,short,28,2.5,1.5,7,2024-04-12 20:40:00,296246,29624,3237.0,299126,2024-04-13 20:40:00,SL,-1.5,1294.604999396852,12.5,0.002,161.8256249246065,160.5289087085721,160.5289087085721,1134.07609068828,5.684341886080802e-14,160.5289087085721,-2.4079336306285812,0.3210578174171442,-2.7289914480457256,1296.3810393739368,1293.652047925891,29.365204792589104,1310.87587724901,1.3139176349224366,ACTIVE,True
378,short,13,2.0,1.25,7,2024-04-13 03:00:00,297006,29700,3210.0,299886,2024-04-14 03:00:00,SL,-1.25,1295.1673471870024,12.5,0.002,161.8959183983753,161.8959183983753,161.8959183983753,969.657033331603,160.52890870857215,325.51031385539943,-2.023698979979691,0.3237918367967506,-2.3474908167764417,1293.652047925891,1291.3045571091147,29.130455710911484,1310.87587724901,1.4929956740807122,ACTIVE,True
379,short,221,1.25,1.75,8,2024-04-13 05:40:00,297327,29732,152.56,300207,2024-04-14 05:40:00,TP,1.25,1295.1673471870024,12.5,0.002,161.8959183983753,161.8959183983753,161.8959183983753,1131.5529517299783,161.82562492460653,163.6143954570241,2.023698979979691,0.3237918367967506,1.6999071431829407,1291.3045571091147,1293.0044642522976,29.300446425229755,1310.87587724901,1.3633184733109311,ACTIVE,True
380,short,22,2.0,1.0,8,2024-04-13 18:55:00,298917,29891,143.55,301797,2024-04-14 18:55:00,TP,2.0,1295.1673471870024,12.5,0.002,161.8959183983753,1.7184770586488867,1.7184770586488867,1293.4488701283535,323.7215433229818,1.7184770586488867,0.03436954117297773,0.0034369541172977734,0.030932587055679958,1293.0044642522976,1293.0353968393533,29.30353968393533,1310.87587724901,1.3609587848314488,ACTIVE,True
