rule_index,old_tp,old_sl,old_capital_pct,new_tp,new_sl,new_capital_pct,changed_tp_sl,changed_capital,full_signals,train_signals,test_signals,hidden_signals,rest_signals,train_sum_net_pct,test_sum_net_pct,hidden_sum_net_pct,rest_sum_net_pct,conditions
132,2.0,1.0,12.5,2.0,1.5,12.5,True,False,7,1,1,3,2,1.7999999523162842,1.7999999523162842,5.399999618530273,3.5999999046325684,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [vol_ratio_20_100] IS High AND [log_range_over_vol_100] IS Very Low
133,2.0,1.0,12.5,3.5,1.0,10.0,True,True,6,1,0,2,3,-1.2000000476837158,0.0,6.599999904632568,5.399999618530273,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [ema_gap_atr_20] IS Strong Bullish AND [dollar_vol_rel_20] IS High
134,2.0,1.0,12.5,2.0,1.0,10.0,False,True,6,1,4,0,1,-0.30707594752311707,7.199999809265137,0.0,1.7999999523162842,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [tr_to_atr_14] IS Low AND [up_close_ratio_5] IS Very Low
135,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,2,0,0,3,3.5999999046325684,0.0,0.0,2.3999998569488525,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [dollar_vol_rel_20] IS Medium AND [close_location_value] IS Very Low
136,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,4,1,0,0,4.199999809265137,1.7999999523162842,0.0,0.0,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [dmi_balance_14] IS Neutral Negative AND [dollar_vol_rel_20] IS High
137,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,0,3,1,1,0.0,5.399999618530273,1.7999999523162842,-1.2000000476837158,[ema_gap_atr_20] IS Neutral Positive AND [rsi_centered_14] IS Extreme Bullish AND [range_compression_20_100] IS Medium AND [upside_semivol_20] IS Very High
138,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,1,1,0,3,1.7999999523162842,1.7999999523162842,0.0,2.3999998569488525,[dollar_vol_rel_20] IS High AND [vol_over_median20] IS Very Low AND [downside_semivol_20] IS Medium AND [log_range_over_vol_100] IS Very High
139,2.0,1.0,12.5,2.0,1.0,8.0,False,True,5,1,1,1,2,1.7999999523162842,1.7999999523162842,-0.40678247809410095,3.5999999046325684,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [downside_semivol_20] IS High AND [parkinson_vol_20] IS Very High
140,2.0,1.0,12.5,2.0,1.0,12.5,False,False,5,1,2,1,1,1.7999999523162842,0.5999999046325684,1.7999999523162842,1.7999999523162842,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [dmi_balance_14] IS Weak Bullish AND [up_close_ratio_5] IS Very Low
141,2.0,1.0,12.5,3.5,1.0,12.5,True,False,7,1,1,0,5,3.299999952316284,3.299999952316284,0.0,8.041446685791016,[dollar_vol_rel_20] IS High AND [vol_over_median20] IS Very Low AND [downside_semivol_20] IS Medium AND [vol_over_ema20] IS High
142,2.0,1.0,12.5,3.5,1.0,12.5,True,False,6,2,3,0,1,5.418721675872803,1.9416532516479492,0.0,3.299999952316284,[vol_over_ema20] IS High AND [vol_over_median20] IS Very Low AND [vol_ratio_20_100] IS Medium AND [dollar_vol_rel_20] IS High
143,2.0,1.0,12.5,3.5,1.0,12.5,True,False,6,1,2,0,3,3.299999952316284,2.0999999046325684,0.0,0.8999998569488525,[rsi_centered_14] IS Strong Bullish AND [band_bb_percB_20_2] IS Extreme Bearish AND [ret_autocorr_1_30] IS Neutral Negative AND [mom_stoch_rsi_14_14_3] IS Very Low
