strategy,variant,accepted,score,full_return,train_return,test_return,hidden_return,rest_return,full_dd,train_dd,test_dd,hidden_dd,output_path
pruned_safe_remove_80,core_tpsl_cap,True,443.55196759178637,157.2123054951444,36.080259626819135,38.3472141552935,25.971991788007752,8.455790548480135,6.8846036623204725,1.9187275302846312,1.4056889870112719,0.8858431136023625,outputs\long_param_tuning_guarded\pruned_safe_remove_80_core_tpsl_cap_evaluator_clean.json
pruned_safe_remove_80,hidden_tpsl_only,True,445.8952534204714,156.5429048996984,34.95472327020581,38.86424543493625,28.956719836575505,6.153469993363725,8.593019540354058,2.36030794595934,1.7646280571703803,1.096311780642734,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_tpsl_only_evaluator_clean.json
pruned_safe_remove_80,hidden_tpsl_cap,True,433.4498694240273,145.12528477518768,31.74003970493089,39.12289966074061,28.979808012472375,3.6934726294250986,7.819247266933932,2.199903611163671,1.5453413585261226,0.8747381057875758,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_tpsl_cap_evaluator_clean.json
pruned_safe_remove_80,conservative_cap_only,False,208.25135065324704,61.28358748331808,17.888203862054965,21.947370403238065,14.431343938576301,-1.9601040188719887,7.072767451482162,2.1179586280602907,0.807391010226959,0.47918109653281216,outputs\long_param_tuning_guarded\pruned_safe_remove_80_conservative_cap_only_evaluator_clean.json
pruned_safe_remove_120_hidden_boost_add_24,baseline,True,167.70447736245617,52.311706768310096,21.61148335867931,12.59594173397649,21.599664458350244,-8.524856118899226,15.093569623358585,4.637158569854731,2.0829260375202936,0.8235953916188856,outputs\hidden_boost_guarded_merge_long\pruned_safe_remove_120_hidden_boost_add_24_evaluator_clean.json
pruned_safe_remove_120_hidden_boost_add_24,core_tpsl_only,True,416.508543159736,137.057343018185,36.71189422938417,28.839681908639193,33.6229402328639,0.7235970434920969,8.60641278191602,4.348159237505335,1.75464821442011,0.9478252335575408,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_boost_add_24_core_tpsl_only_evaluator_clean.json
pruned_safe_remove_120_hidden_boost_add_24,core_cap_only,False,166.89883567562697,49.220724300470685,16.314187564516924,14.882003998895211,18.604222655918235,-5.844889078781145,11.035622038830532,3.518272752626056,1.5076728602990646,0.4615431798453558,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_boost_add_24_core_cap_only_evaluator_clean.json
pruned_safe_remove_120_hidden_boost_add_24,core_tpsl_cap,True,385.36895907903175,124.93344277798121,35.620207542484316,28.468528257432247,28.862363315312777,0.18580266188961136,8.282336262778536,3.452070438811384,1.2444999999999895,0.766833248131541,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_boost_add_24_core_tpsl_cap_evaluator_clean.json
pruned_safe_remove_120_hidden_boost_add_24,hidden_tpsl_only,True,409.58127885530166,132.40833238091324,36.24912159442548,28.922367551602825,34.48964871103595,-1.6180035436706652,10.077100471592424,4.19962373100932,1.6932371931765076,0.9478252335575378,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_boost_add_24_hidden_tpsl_only_evaluator_clean.json
pruned_safe_remove_120_hidden_boost_add_24,hidden_tpsl_cap,True,367.0593720997823,113.73858098808323,31.574856421896303,27.344806373121045,33.14019508905424,-4.188051939729243,11.403640057646177,3.881582352583023,1.3461789492575336,0.6486725000000092,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_boost_add_24_hidden_tpsl_cap_evaluator_clean.json
pruned_safe_remove_120_hidden_boost_add_24,conservative_cap_only,False,159.41968512007645,46.13267164688366,13.553900270295639,16.000650608676125,18.424530374264414,-6.320840389333959,11.266185822133648,3.708165833039842,1.3770638164252578,0.3658228799999961,outputs\long_param_tuning_guarded\pruned_safe_remove_120_hidden_boost_add_24_conservative_cap_only_evaluator_clean.json
pruned_safe_remove_80_hidden_boost_add_24,baseline,True,157.56010476115193,47.08001449103063,16.59538141469592,15.36168530240467,23.044252041671754,-11.131133455186182,16.930459676686468,4.491671628913956,2.449423600819725,0.9723606697430877,outputs\hidden_boost_guarded_merge_long\pruned_safe_remove_80_hidden_boost_add_24_evaluator_clean.json
pruned_safe_remove_80_hidden_boost_add_24,core_tpsl_only,True,443.9840643282428,144.95417659641672,30.215528036055716,35.62653982697168,37.88703144634078,0.5917872234991517,9.646826621269083,4.4254230329158855,2.1273236227433956,1.096311780642702,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_boost_add_24_core_tpsl_only_evaluator_clean.json
pruned_safe_remove_80_hidden_boost_add_24,core_cap_only,False,166.00990253378853,48.0256807336539,14.44540826108145,18.762528851093684,19.333547768303873,-8.736177987364503,13.713322855702529,3.5317157794207668,1.5040579295996808,0.5809289618358703,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_boost_add_24_core_cap_only_evaluator_clean.json
pruned_safe_remove_80_hidden_boost_add_24,core_tpsl_cap,True,435.9788496278111,146.3147677457788,34.6022975188536,36.554284217766096,31.72913401645061,1.7307797967642369,9.474494896469057,3.0225129525175167,1.687789154931747,0.8858431136023992,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_boost_add_24_core_tpsl_cap_evaluator_clean.json
pruned_safe_remove_80_hidden_boost_add_24,hidden_tpsl_only,True,429.4551752637354,133.14586714222574,28.310457484158746,36.74859510630244,38.67962616662985,-4.1839437755914695,11.29523998374325,4.425423032915821,2.122990098494556,1.0963117806427283,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_boost_add_24_hidden_tpsl_only_evaluator_clean.json
pruned_safe_remove_80_hidden_boost_add_24,hidden_tpsl_cap,True,416.85204464560275,127.4131799152212,26.852831777781883,37.428702047794445,37.154465055541564,-4.889632584871773,11.672877033917644,3.883298912831823,1.8747076376699212,0.8723348745545768,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_boost_add_24_hidden_tpsl_cap_evaluator_clean.json
pruned_safe_remove_80_hidden_boost_add_24,conservative_cap_only,False,155.27691615271434,43.67041767921578,11.5536705982489,19.629523961384308,19.394108013939437,-9.830020038634268,14.28892581044455,3.9281581584903704,1.4358088428305402,0.4791810965328073,outputs\long_param_tuning_guarded\pruned_safe_remove_80_hidden_boost_add_24_conservative_cap_only_evaluator_clean.json
