Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
182,short,12,2.5,2.0,1,2024-06-11 07:05:00,467410,46741,0.4316,470290,2024-06-12 07:05:00,TP,2.5,1112.8350663658337,12.5,0.002,139.1043832957292,139.1043832957292,139.1043832957292,834.7548139666688,139.1043832957292,278.0802523991648,3.4776095823932303,0.27820876659145843,3.1994008158017717,1126.8164062860733,1130.015807101875,13.001580710187511,1130.015807101875,0.0,ACTIVE,True
183,short,4,2.5,1.25,7,2024-06-11 15:25:00,468416,46841,3512.38,471296,2024-06-12 15:25:00,SL,-1.25,1120.4176046544699,12.5,0.002,140.05220058180873,140.05220058180873,140.05220058180873,417.3131498871876,0.0,703.1044547672823,-1.7506525072726093,0.28010440116361746,-2.030756908436227,1130.015807101875,1127.9850501934388,12.798505019343875,1130.015807101875,0.17971048685101093,ACTIVE,True
184,short,4,2.5,1.25,7,2024-06-12 17:50:00,471586,47158,3620.37,474466,2024-06-13 17:50:00,TP,2.5,1127.9850501934388,12.5,0.002,140.99813127417985,140.99813127417985,140.99813127417985,-8.526512829121202e-14,0.0,1127.9850501934388,3.5249532818544966,0.2819962625483597,3.242957019306137,1127.9850501934388,1131.228007212745,13.122800721274498,1131.228007212745,0.0,ACTIVE,True
185,short,13,2.0,1.25,1,2024-06-13 13:25:00,473930,47393,0.4307,476810,2024-06-14 13:25:00,TP,2.0,1127.9850501934388,12.5,0.002,140.99813127417985,140.99813127417985,140.99813127417985,140.99813127417977,0.0,986.9869189192591,2.819962625483597,0.2819962625483597,2.5379663629352374,1131.228007212745,1133.7659735756804,13.376597357568043,1133.7659735756804,0.0,ACTIVE,True
186,short,13,2.0,1.25,6,2024-06-13 13:25:00,473935,47393,6.52,476815,2024-06-14 13:25:00,TP,2.0,1127.9850501934388,12.5,0.002,140.99813127417985,140.99813127417985,140.99813127417985,281.9962625483596,0.0,845.9887876450792,2.819962625483597,0.2819962625483597,2.5379663629352374,1133.7659735756804,1136.3039399386157,13.630393993861567,1136.3039399386157,0.0,ACTIVE,True
187,short,8,2.5,1.75,1,2024-06-14 23:00:00,477960,47796,0.4112,480840,2024-06-15 23:00:00,Time_288,-0.5836575875486414,1136.3039399386157,12.5,0.002,142.03799249232696,142.03799249232696,142.03799249232696,-1.1368683772161603e-13,0.0,1136.3039399386157,-0.8290155203832359,0.2840759849846539,-1.1130915053678898,1136.3039399386157,1135.1908484332478,13.51908484332478,1136.3039399386157,0.09795719844358523,ACTIVE,True
188,short,11,3.0,1.75,6,2024-06-18 03:35:00,487155,48715,5.75,490035,2024-06-19 03:35:00,SL,-1.75,1135.1908484332478,12.5,0.002,141.89885605415597,141.89885605415597,141.89885605415597,-1.1368683772161603e-13,0.0,1135.190848433248,-2.48322998094773,0.28379771210831195,-2.7670276930560416,1135.1908484332478,1132.4238207401918,13.242382074019176,1136.3039399386157,0.3414684277723735,ACTIVE,True
189,short,11,3.0,1.75,2,2024-06-18 03:45:00,487171,48717,26.45,490051,2024-06-19 03:45:00,TP,3.0,1135.1908484332478,12.5,0.002,141.89885605415597,141.89885605415597,141.89885605415597,141.89885605415586,0.0,993.2919923790919,4.256965681624679,0.28379771210831195,3.973167969516367,1132.4238207401918,1136.3969887097082,13.639698870970829,1136.3969887097082,0.0,ACTIVE,True
190,short,4,2.5,1.25,5,2024-06-18 04:05:00,487214,48721,0.12105,490094,2024-06-19 04:05:00,TP,2.5,1135.1908484332478,12.5,0.002,141.89885605415597,141.89885605415597,141.89885605415597,283.7977121083118,0.0,851.393136324936,3.5474714013538993,0.28379771210831195,3.2636736892455875,1136.3969887097082,1139.6606623989537,13.96606623989538,1139.6606623989537,0.0,ACTIVE,True
191,short,11,3.0,1.75,2,2024-06-18 04:05:00,487211,48721,26.42,490091,2024-06-19 04:05:00,TP,3.0,1135.1908484332478,12.5,0.002,141.89885605415597,141.89885605415597,141.89885605415597,425.69656816246777,141.89885605415597,709.49428027078,4.256965681624679,0.28379771210831195,3.973167969516367,1139.6606623989537,1143.6338303684702,14.363383036847011,1143.6338303684702,0.0,ACTIVE,True
192,short,13,2.0,1.25,6,2024-06-19 02:05:00,489855,48985,5.87,492735,2024-06-20 02:05:00,SL,-1.25,1135.1908484332478,12.5,0.002,141.89885605415597,141.89885605415597,141.89885605415597,567.5954242166238,141.89885605415597,567.595424216624,-1.7737357006769496,0.28379771210831195,-2.0575334127852614,1143.6338303684702,1141.576296955685,14.157629695568485,1143.6338303684702,0.179911905205035,ACTIVE,True
193,short,2,2.5,1.25,4,2024-06-21 04:25:00,495893,49589,64595.99,498773,2024-06-22 04:25:00,Time_288,0.5046752902153834,1141.576296955685,12.5,0.002,142.69703711946062,142.69703711946062,142.69703711946062,-1.7053025658242404e-13,0.0,1141.5762969556852,0.7201566862113913,0.2853940742389212,0.43476261197247007,1141.576296955685,1142.0110595676574,14.201105956765737,1143.6338303684702,0.1418960123180262,ACTIVE,True
194,short,12,2.5,2.0,6,2024-06-23 21:20:00,503685,50368,5.668,506565,2024-06-24 21:20:00,TP,2.5,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,-1.7053025658242404e-13,0.0,1142.0110595676576,3.5687845611489295,0.28550276489191434,3.283281796257015,1142.0110595676574,1145.2943413639143,14.529434136391428,1145.2943413639143,0.0,ACTIVE,True
195,short,12,2.5,2.0,1,2024-06-23 22:10:00,503780,50378,0.3826,506660,2024-06-24 22:10:00,TP,2.5,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,142.751382445957,0.0,999.2596771217004,3.5687845611489295,0.28550276489191434,3.283281796257015,1145.2943413639143,1148.5776231601712,14.85776231601712,1148.5776231601712,0.0,ACTIVE,True
196,short,2,2.5,1.25,4,2024-06-23 22:20:00,503803,50380,63762.59,506683,2024-06-24 22:20:00,TP,2.5,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,285.5027648919142,0.0,856.5082946757432,3.5687845611489295,0.28550276489191434,3.283281796257015,1148.5776231601712,1151.8609049564282,15.186090495642812,1151.8609049564282,0.0,ACTIVE,True
197,short,2,2.5,1.25,4,2024-06-23 22:30:00,503823,50382,63724.51,506703,2024-06-24 22:30:00,TP,2.5,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,428.25414733787136,142.75138244595718,713.756912229786,3.5687845611489295,0.28550276489191434,3.283281796257015,1151.8609049564282,1155.144186752685,15.514418675268505,1155.144186752685,0.0,ACTIVE,True
198,short,2,2.5,1.25,4,2024-06-23 22:35:00,503833,50383,63719.51,506713,2024-06-24 22:35:00,TP,2.5,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,571.0055297838285,285.50276489191435,571.0055297838289,3.5687845611489295,0.28550276489191434,3.283281796257015,1155.144186752685,1158.427468548942,15.842746854894196,1158.427468548942,0.0,ACTIVE,True
